F15_20200101_20201231.global.orm_avg_vis,
1.67857
1.39286
2.03448
1.85714
1.76667
2.35294
2.68293
8.24000
2.47059
5.79412
6.90625
1.48000
1.94444
1.45455
1.72414
2.16667
1.48387
4.35000
1.71795
1.54286
2.07895
1.62963
2.47500
1.91667
3.91892
2.64706
1.81250
1.87097
1.59375
1.50000
2.31111
2.73913
3.09524
2.56410
1.51282
1.76316
1.56098
1.57895
1.37037
2.16667
1.71875
1.51282
2.44186
1.71739
1.84091
2.00000
1.81818
1.48780
1.50000
1.80435
2.61905
1.78261
1.64103
1.77500
1.95455
1.60417
1.52174
1.64583
1.84783
1.62791
1.30189
1.68750
1.49091
2.84000
1.30612
1.61905
1.52632
1.80000
1.83721
1.91304
1.74510
1.70588
1.73214
1.50000
1.60000
1.47541
2.24590
1.55556
2.18750
1.37500
1.53333
1.41304
1.61702
1.29091
1.50877
1.40000
1.34545
1.40000
1.23214
1.40351
1.16949
1.42000
1.45833
1.17949
1.32609
1.57407
1.47541
1.36170
1.11111
1.24000
1.39623
1.15094
1.30159
1.29630
1.41667
1.15385
1.68750
1.36667
1.62903
1.15254
3.20690
1.40541
1.20000
1.11905
1.19444
1.18605
1.14286
1.28571
1.47458
1.25373
1.33333
1.37838
1.25455
1.17647
1.35484
1.34483
1.54839
1.37500
1.16667
1.42857
1.27941
1.32759
1.42029
1.45946
1.47561
1.22222
1.46774
1.17500
1.41026
1.17857
1.40000
1.18367
1.28986
1.24138
1.42424
1.57353
1.26154
1.63380
1.55556
1.47436
1.41379
1.12500
1.34211
1.48077
1.35714
1.30357
1.53968
1.44615
1.76812
1.47368
1.56061
1.42424
1.60000
1.39706
1.32692
1.49153
1.41538
1.24638
1.37500
